index,list_len
0,1
1,1
2,3
3,0
4,1
5,2
6,2
7,2
8,2
9,2
10,2
11,1
12,0
13,1
14,2
15,1
16,2
17,1
18,5
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,2
27,0
28,2
29,2
30,0
31,3
32,1
33,1
34,2
35,2
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,0
44,2
45,0
46,1
47,0
48,1
49,3
50,0
51,4
52,3
53,1
54,2
55,1
56,1
57,4
58,0
59,2
60,2
61,1
62,0
63,1
64,3
65,1
66,0
67,2
68,0
69,2
70,1
71,2
72,0
73,1
74,0
75,0
76,2
77,2
78,0
79,0
80,1
81,0
82,1
83,0
84,1
85,3
86,1
87,1
88,3
89,1
90,2
91,1
92,2
93,1
94,1
95,1
96,5
97,3
98,0
99,2
100,2
101,3
102,0
103,3
104,1
105,1
106,2
107,2
108,1
109,1
110,2
111,1
112,1
113,0
114,1
115,0
116,0
117,1
118,1
119,3
120,1
121,3
122,2
123,3
124,3
125,0
126,3
127,0
128,1
129,0
130,0
131,2
132,1
133,1
134,1
135,0
136,1
137,0
138,2
139,1
140,0
141,2
142,3
143,1
144,1
145,0
146,1
147,1
148,0
149,2
150,1
151,0
152,2
153,2
154,0
155,0
156,3
157,0
158,1
159,2
160,1
161,1
162,1
163,1
164,0
165,3
166,0
167,4
168,0
169,2
170,0
171,2
172,3
173,2
174,0
175,1
176,1
177,1
178,3
179,2
180,0
181,0
182,0
183,1
184,0
185,1
186,4
187,0
188,0
189,1
190,0
191,0
192,0
193,2
194,3
195,1
196,1
197,2
198,1
199,2
200,0
201,1
202,2
203,3
204,2
205,0
206,3
207,1
208,1
209,0
210,1
211,1
212,0
213,1
214,1
215,1
216,2
217,2
218,2
219,1
220,4
221,3
222,0
223,3
224,2
225,1
226,1
227,3
228,1
229,2
230,0
231,0
232,1
233,1
234,1
235,0
236,0
237,2
238,0
239,4
240,0
241,0
242,0
243,1
244,1
245,3
246,2
247,0
248,0
249,6
250,3
251,4
252,1
253,1
254,1
255,1
256,1
257,2
258,2
259,1
260,0
261,2
262,0
263,1
264,1
265,1
266,1
267,0
268,2
269,1
270,0
271,2
272,1
273,1
274,1
275,0
276,2
277,0
278,2
279,0
280,2
281,1
282,0
283,0
284,0
285,1
286,2
287,2
288,1
289,0
290,0
291,0
292,0
293,2
294,0
295,1
296,0
297,2
298,0
299,2
300,2
301,1
302,5
303,2
304,3
305,1
306,0
307,3
308,1
309,3
310,2
311,0
312,4
313,2
314,2
315,0
316,1
317,2
318,1
319,1
320,1
321,0
322,2
323,0
324,1
325,1
326,0
327,2
328,1
329,0
330,1
331,1
332,2
333,1
334,2
335,1
336,0
337,1
338,4
339,1
340,0
341,2
342,2
343,2
344,1
345,0
346,0
347,4
348,0
349,1
350,1
351,1
352,2
353,3
354,1
355,1
356,1
357,1
358,2
359,1
360,1
361,2
362,0
363,1
364,2
365,3
366,2
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,0
375,1
376,2
377,1
378,0
379,0
380,0
381,0
382,0
383,2
384,0
385,0
386,1
387,0
388,0
389,0
390,1
391,0
392,0
393,2
394,1
395,0
396,1
397,1
398,0
399,0
400,1
401,0
402,1
403,0
404,0
405,1
406,1
407,0
408,0
409,0
410,0
411,3
412,1
413,2
414,0
415,1
416,0
417,1
418,3
419,3
420,2
421,1
422,1
423,1
424,2
425,1
426,1
427,1
428,3
429,5
430,2
431,0
432,2
433,0
434,0
435,3
436,0
437,2
438,1
439,1
440,1
441,0
442,5
443,3
444,1
445,0
446,1
447,3
448,1
449,3
450,1
451,0
452,0
453,1
454,0
455,0
456,0
457,2
458,2
459,1
460,1
461,0
462,2
463,1
464,2
465,0
466,2
467,4
468,1
469,2
470,1
471,1
472,1
473,1
474,1
475,1
476,0
477,1
478,6
479,2
480,2
481,1
482,0
483,0
484,1
485,1
486,1
487,2
488,2
489,0
490,3
491,1
492,0
493,2
494,1
495,0
496,3
497,1
498,0
499,1
500,1
501,0
502,1
503,2
504,0
505,0
506,2
507,2
508,1
509,0
510,4
511,0
512,4
513,3
514,4
515,1
516,0
517,1
518,1
519,1
520,1
521,2
522,0
523,0
524,1
525,0
526,0
527,2
528,1
529,3
530,2
531,1
532,1
533,3
534,4
535,1
536,0
537,2
538,1
539,0
540,2
541,1
542,1
543,1
544,1
545,1
546,1
547,0
548,2
549,0
550,1
551,0
552,1
553,3
554,1
555,0
556,2
557,1
558,1
559,1
560,1
561,1
562,4
563,0
564,0
565,3
566,3
567,0
568,0
569,0
570,0
571,1
572,3
573,2
574,2
575,2
576,1
577,2
578,0
579,1
580,1
581,0
582,0
583,0
584,0
585,5
586,3
587,1
588,3
589,2
590,1
591,0
592,2
593,2
594,0
595,1
596,2
597,1
598,1
599,3
600,3
601,0
602,1
603,0
604,1
605,2
606,0
607,3
608,1
609,1
610,0
611,3
612,2
613,3
614,1
615,1
616,0
617,2
618,0
619,1
620,2
621,2
622,2
623,1
624,2
625,2
626,3
627,0
628,1
629,3
630,2
631,2
632,3
633,2
634,2
635,0
636,0
637,1
638,1
639,3
640,2
641,0
642,1
643,1
644,2
645,1
646,1
647,0
648,2
649,3
650,0
651,1
652,0
653,1
654,1
655,0
656,2
657,0
658,2
659,2
660,1
661,2
662,0
663,1
664,0
665,1
666,1
667,2
668,2
669,1
670,0
671,1
672,5
673,0
674,2
675,2
676,2
677,0
678,1
679,1
680,0
681,0
682,1
683,1
684,2
685,1
686,1
687,2
688,0
689,1
690,2
691,0
692,2
693,0
694,1
695,2
696,0
697,1
698,2
699,1
700,1
701,0
702,2
703,0
704,3
705,3
706,1
707,0
708,0
709,3
710,2
711,3
712,1
713,5
714,2
715,1
716,1
717,5
718,2
719,2
720,2
721,0
722,1
723,2
724,1
725,2
726,0
727,1
728,1
729,3
730,4
731,3
732,0
733,2
734,1
735,1
736,1
737,1
738,1
739,1
740,0
741,1
742,0
743,0
744,0
745,0
746,1
747,1
748,0
749,1
750,0
751,1
752,1
753,3
754,2
755,0
756,1
757,0
758,0
759,1
760,0
761,1
762,1
763,1
764,1
765,0
766,0
767,0
768,1
769,3
770,2
771,4
772,3
773,2
774,0
775,2
776,1
777,2
778,4
779,2
780,2
781,0
782,0
783,1
784,2
785,3
786,0
787,0
788,2
789,1
790,3
791,2
792,2
793,3
794,0
795,0
796,1
797,0
798,1
799,4
800,1
801,1
802,0
803,2
804,1
805,2
806,1
807,2
808,4
809,1
810,1
811,3
