index,list_len
0,12
1,12
2,13
3,10
4,16
5,17
6,13
7,18
8,13
9,13
10,18
11,23
12,25
13,15
14,9
15,15
16,11
17,13
18,16
19,13
20,10
21,16
22,12
23,19
24,15
25,18
26,18
27,13
28,13
29,15
30,15
31,16
32,12
33,19
34,14
35,13
36,24
37,21
38,19
39,10
40,15
41,12
42,13
43,20
44,16
45,12
46,19
47,14
48,17
49,17
50,10
51,21
52,4
53,14
54,12
55,15
56,12
57,22
58,17
59,13
60,13
61,12
62,18
63,17
64,17
65,15
66,12
67,11
68,13
69,14
70,16
71,16
72,19
73,16
74,14
75,14
76,13
77,19
78,10
79,17
80,19
81,11
82,17
83,13
84,14
85,16
86,23
87,17
88,17
89,14
90,15
91,13
92,7
93,13
94,13
95,15
96,11
97,10
98,18
99,13
100,18
101,17
102,12
103,16
104,15
105,18
106,11
107,21
108,12
109,9
110,10
111,18
112,16
113,15
114,16
115,19
116,21
117,22
118,21
119,14
120,12
121,15
122,13
123,12
124,15
125,14
126,14
127,18
128,11
129,14
130,13
131,12
132,13
133,9
134,13
135,9
136,22
137,15
138,7
139,14
140,9
141,7
142,8
143,11
144,8
145,22
146,17
147,12
148,16
149,13
150,13
151,16
152,6
153,13
154,14
155,13
156,19
157,19
158,15
159,12
160,11
161,14
162,10
163,15
164,13
165,13
166,12
167,10
168,14
169,13
170,23
171,8
172,17
173,12
174,9
175,7
176,13
177,9
178,13
179,15
180,8
181,14
182,17
183,10
184,16
185,18
186,12
187,12
188,18
189,14
190,18
191,17
192,11
193,18
194,13
195,8
196,10
197,11
198,13
199,16
200,11
201,12
202,10
203,15
204,18
205,19
206,13
207,15
208,14
209,13
210,22
211,12
212,13
213,13
214,15
215,24
216,14
217,11
218,14
219,10
220,17
221,12
222,13
223,21
224,18
225,13
226,15
227,14
228,13
229,17
230,12
231,14
232,14
233,15
234,18
235,14
236,8
237,17
238,17
239,16
240,22
241,13
242,15
243,10
244,9
245,14
246,16
247,16
248,13
249,13
250,15
251,18
252,14
253,9
254,13
255,19
256,11
257,16
258,18
259,15
260,14
261,15
262,17
263,11
264,18
265,17
266,9
267,17
268,15
269,18
270,7
271,17
272,18
273,22
274,17
275,20
276,11
277,19
278,11
279,13
280,10
281,19
282,16
283,13
284,18
285,12
286,12
287,15
288,13
289,13
290,18
291,18
292,19
293,13
294,8
295,11
296,10
297,17
298,15
299,14
300,13
301,10
302,13
303,8
304,15
305,8
306,9
307,14
308,7
309,19
310,18
311,22
312,12
313,15
314,13
315,14
316,13
317,12
318,15
319,19
320,18
321,11
322,12
323,17
324,17
325,15
326,14
327,15
328,11
329,17
330,16
331,9
332,19
333,13
334,8
335,15
336,20
337,18
338,11
339,10
340,15
341,20
342,17
343,18
344,9
345,22
346,14
347,12
348,9
349,14
350,12
351,14
352,20
353,18
354,14
355,10
356,9
357,12
358,12
359,15
360,12
361,15
362,19
363,6
364,4
365,14
366,23
367,11
368,18
369,19
370,10
371,16
372,12
373,11
374,12
375,9
376,20
377,12
378,14
379,9
380,16
381,18
382,12
383,15
384,17
385,21
386,13
387,10
388,15
389,13
390,17
391,8
392,16
393,12
394,16
395,16
396,12
397,12
398,10
399,15
400,16
401,15
402,11
403,12
404,19
405,12
406,13
407,18
408,17
409,9
410,10
411,16
412,15
413,21
414,11
415,10
416,13
417,8
418,12
419,24
420,13
421,13
422,8
423,14
424,19
425,14
426,11
427,15
428,16
429,10
430,14
431,15
432,8
433,15
434,13
435,18
436,9
437,16
438,17
439,11
440,19
441,10
442,10
443,12
444,15
445,11
446,17
447,11
448,14
449,15
450,12
451,11
452,10
453,17
454,15
455,13
456,12
457,16
458,10
459,12
460,14
461,20
462,14
463,11
464,9
465,15
466,14
467,17
468,16
469,13
470,12
471,21
472,13
473,15
474,14
475,12
476,17
477,12
478,13
479,16
480,11
481,13
482,14
483,8
484,10
485,15
486,13
487,15
488,15
489,16
490,18
491,5
492,11
493,16
494,16
495,11
496,10
497,9
498,14
499,18
500,13
501,13
502,16
503,18
504,13
505,9
506,19
507,19
508,11
509,14
510,18
511,9
512,23
513,13
514,19
515,14
516,17
517,18
518,12
519,11
520,10
521,20
522,14
523,13
524,9
525,9
526,16
527,12
528,19
529,13
530,18
531,11
532,17
533,17
534,17
535,18
536,13
537,12
538,10
539,13
540,13
541,8
542,10
543,15
544,17
545,13
546,18
547,13
548,13
549,16
550,12
551,14
552,13
553,13
554,14
555,12
556,12
557,17
558,15
559,11
560,21
561,10
562,14
563,13
564,17
565,14
566,17
567,12
568,17
569,19
570,12
571,20
572,5
573,15
574,20
575,13
576,18
577,16
578,11
579,17
580,6
581,19
582,15
583,19
584,15
585,10
586,19
587,20
588,17
589,17
590,22
591,18
592,7
593,9
594,14
595,16
596,14
597,19
598,15
599,16
600,14
601,17
602,15
603,10
604,23
605,10
606,12
607,12
608,13
609,13
610,12
611,11
612,16
613,12
614,18
615,16
616,11
617,15
618,11
619,11
620,11
621,13
622,14
623,16
624,16
625,10
626,19
627,12
628,10
629,9
630,11
631,15
632,14
633,19
634,10
635,11
636,11
637,16
638,12
639,15
640,15
641,15
642,16
643,13
644,16
645,14
646,16
647,16
648,17
649,15
650,17
651,14
652,14
653,10
654,13
655,19
656,26
657,13
658,14
659,19
660,16
661,10
662,12
663,15
664,19
665,11
666,13
667,13
668,11
669,12
670,20
671,9
672,14
673,17
674,15
675,11
676,16
677,11
678,6
679,18
680,16
681,12
682,13
683,15
684,17
685,18
686,15
687,16
688,12
689,11
690,13
691,13
692,13
693,11
694,16
695,16
696,20
697,15
698,12
699,17
700,13
701,15
702,16
703,19
704,11
705,13
706,20
707,13
708,17
709,10
710,16
711,15
712,13
713,12
714,16
715,12
716,6
717,19
718,21
719,10
720,17
721,13
722,19
723,12
724,23
725,12
726,11
727,14
728,9
729,12
730,19
731,14
732,13
733,12
734,10
735,17
736,14
737,14
738,18
739,7
740,16
741,14
742,7
743,11
744,14
745,14
746,13
747,12
748,19
749,13
750,16
751,9
752,23
753,17
754,18
755,14
756,15
757,7
758,11
759,13
760,12
761,17
762,16
763,17
764,17
765,9
766,17
767,16
768,11
769,17
770,10
771,11
772,10
773,8
774,21
775,19
776,15
777,15
778,20
779,17
780,12
781,17
782,13
783,14
784,17
785,19
786,22
787,17
788,14
789,10
790,11
791,25
792,14
793,15
794,15
795,13
796,13
797,10
798,21
799,19
800,16
801,13
802,9
803,16
804,12
805,12
806,12
807,12
808,17
809,12
810,10
811,15
812,15
813,19
814,16
815,19
816,14
817,15
818,15
819,7
820,18
821,11
822,18
823,18
824,12
825,14
826,15
827,15
828,12
829,18
830,6
831,8
832,18
833,12
834,19
835,13
836,17
837,12
838,12
839,18
840,10
841,23
842,19
843,27
844,9
845,16
846,14
847,20
848,20
849,11
850,12
851,10
852,17
853,15
854,12
855,9
856,17
857,13
858,22
859,20
860,15
861,10
862,17
863,11
864,9
865,12
866,18
867,12
868,12
869,12
870,24
871,14
872,9
873,11
874,18
875,11
876,15
877,11
878,16
879,13
880,15
881,10
882,15
883,13
884,10
885,11
886,18
887,12
888,13
889,19
890,19
891,14
892,12
893,15
894,9
895,18
896,12
897,7
898,14
899,18
900,8
901,20
902,10
903,23
904,10
905,17
906,15
907,13
908,16
909,10
910,16
911,16
912,8
913,21
914,17
915,8
916,13
917,18
918,12
919,21
920,15
921,16
922,18
923,12
924,18
925,23
926,16
927,15
928,14
929,12
930,14
931,12
932,15
933,11
934,7
935,10
936,10
937,12
938,12
939,12
940,17
941,24
942,12
943,16
944,13
945,15
946,12
947,14
948,18
949,14
950,17
951,18
952,19
953,17
954,14
955,11
956,12
957,12
958,11
959,14
960,18
961,10
962,15
963,7
964,14
965,18
966,14
967,14
968,16
969,12
970,12
971,12
972,14
973,7
974,9
975,12
976,16
977,13
978,8
979,12
980,14
981,13
982,14
983,19
984,15
985,22
986,13
