index,list_len
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,0
77,1
78,1
79,1
80,0
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,1
110,1
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,2
158,0
159,1
160,0
161,0
162,0
163,1
164,0
165,0
166,0
167,1
168,0
169,1
170,1
171,0
172,0
173,1
174,0
175,2
176,0
177,0
178,1
179,1
180,1
181,2
182,2
183,2
184,0
185,0
186,0
187,1
188,2
189,3
190,0
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,2
206,1
207,2
208,0
209,0
210,3
211,2
212,1
213,3
214,1
215,4
216,1
217,1
218,0
219,3
220,3
221,3
222,0
223,0
224,2
225,2
226,2
227,2
228,0
229,1
230,1
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,2
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,2
266,1
267,0
268,0
269,2
270,0
271,0
272,0
273,1
274,3
275,2
276,0
277,2
278,4
279,2
280,1
281,3
282,1
283,1
284,3
285,2
286,2
287,2
288,3
289,3
290,3
291,1
292,2
293,1
294,2
295,4
296,1
297,4
298,4
299,4
300,1
301,3
302,4
303,1
304,4
305,6
306,8
307,3
308,4
309,4
310,4
311,6
312,12
313,4
314,9
315,7
316,8
317,4
318,7
319,8
320,7
321,7
322,3
323,6
324,5
325,8
326,4
327,9
328,4
329,5
330,8
331,6
332,2
333,3
334,5
335,3
336,5
337,3
338,3
339,1
340,5
341,1
342,2
343,1
344,2
345,1
346,2
347,0
348,0
349,1
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,2
370,0
371,0
372,1
373,0
374,1
375,0
376,2
377,0
378,1
379,3
380,3
381,1
382,3
383,3
384,3
385,2
386,5
387,1
388,3
389,4
390,4
391,1
392,4
393,4
394,3
395,3
396,5
397,4
398,4
399,5
400,9
401,7
402,8
403,8
404,9
405,5
406,6
407,6
408,8
409,9
410,12
411,10
412,14
413,9
414,15
415,19
416,10
417,13
418,13
419,12
420,13
421,11
422,25
423,13
424,16
425,21
426,25
427,18
428,13
429,11
430,21
431,17
432,19
433,15
434,20
435,18
436,15
437,12
438,9
439,18
440,13
441,11
442,11
443,10
444,13
445,11
446,8
447,10
448,11
449,5
450,8
451,9
452,5
453,4
454,13
455,2
456,2
457,5
458,1
459,1
460,0
461,0
462,0
463,2
464,0
465,0
466,0
467,0
468,0
469,0
470,1
471,0
472,0
473,0
474,1
475,0
476,0
477,1
478,0
479,1
480,1
481,1
482,0
483,1
484,2
485,2
486,3
487,0
488,3
489,0
490,0
491,1
492,4
493,4
494,1
495,2
496,3
497,2
498,7
499,7
500,5
501,0
502,3
503,2
504,9
505,8
506,4
507,8
508,5
509,7
510,11
511,7
512,8
513,7
514,12
515,10
516,14
517,13
518,10
519,8
520,16
521,8
522,6
523,13
524,10
525,16
526,17
527,16
528,22
529,27
530,25
531,19
