index,list_len
0,1
1,1
2,1
3,1
4,0
5,1
6,1
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,1
16,0
17,1
18,0
19,0
20,0
21,0
22,1
23,1
24,1
25,1
26,0
27,0
28,2
29,0
30,1
31,4
32,0
33,0
34,6
35,2
36,2
37,0
38,1
39,0
40,0
41,2
42,1
43,4
44,0
45,3
46,1
47,0
48,0
49,5
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,4
59,0
60,1
61,1
62,1
63,0
64,0
65,2
66,3
67,2
68,1
69,1
70,1
71,3
72,0
73,1
74,2
75,2
76,3
77,2
78,1
79,7
80,2
81,5
82,2
83,2
84,1
85,0
86,1
87,0
88,0
89,1
90,3
91,0
92,0
93,0
94,11
95,0
96,12
97,2
98,2
99,1
100,1
101,2
102,2
103,3
104,0
105,1
106,0
107,0
108,0
109,1
110,1
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,2
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,0
139,3
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,2
150,0
151,2
152,1
153,1
154,2
155,1
156,0
157,3
158,3
159,1
160,6
161,2
162,0
163,4
164,2
165,1
166,4
167,0
168,0
169,3
170,1
171,2
172,3
173,2
174,3
175,1
176,1
177,4
178,2
179,0
180,1
181,2
182,0
183,0
184,2
185,3
186,4
187,1
188,2
189,3
190,0
191,1
192,0
193,2
194,0
195,3
196,0
197,2
198,3
199,3
200,1
201,2
202,1
203,2
204,1
205,3
206,2
207,0
208,2
209,1
210,6
211,4
212,4
213,6
214,0
215,3
216,3
217,2
218,4
219,2
220,1
221,0
222,2
223,1
224,0
225,1
226,3
227,1
228,2
229,1
230,15
231,2
232,9
233,5
234,6
235,0
236,0
237,1
238,0
239,1
240,0
241,2
242,1
243,0
244,1
245,2
246,0
247,2
248,0
249,3
250,2
251,0
252,2
253,1
254,3
255,2
256,3
257,4
258,3
259,6
260,1
261,1
262,7
263,1
264,4
265,0
266,2
267,3
268,1
269,1
270,6
271,0
272,1
273,2
274,7
275,4
276,4
277,0
278,0
279,1
280,4
281,4
282,6
283,11
284,1
285,6
286,0
287,0
288,2
289,4
290,5
291,4
292,4
293,0
294,3
295,1
296,2
297,1
298,3
299,4
300,3
301,6
302,2
303,4
304,7
305,5
306,6
307,6
308,2
309,0
310,0
311,1
312,4
313,2
314,2
315,4
316,1
317,0
318,1
319,1
320,1
321,1
322,1
323,2
324,1
325,0
326,0
327,1
328,1
329,0
330,0
331,0
332,1
333,0
334,0
335,1
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,3
346,0
347,0
348,1
349,1
350,2
351,0
352,0
353,1
354,3
355,3
356,0
357,3
358,4
359,2
360,3
361,0
362,4
363,2
364,3
365,1
366,0
367,1
368,1
369,1
370,2
371,2
372,0
373,1
374,3
375,0
376,1
377,4
378,1
379,2
380,2
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,3
391,3
392,0
393,2
394,1
395,2
396,2
397,2
398,0
399,0
400,1
401,3
402,1
403,1
404,0
405,0
406,0
407,2
408,0
409,3
410,3
411,4
412,1
413,2
414,1
415,2
416,2
417,2
418,4
419,1
420,1
421,4
422,3
423,2
424,1
425,2
426,4
427,3
428,4
429,5
430,4
431,1
432,4
433,3
434,2
435,1
436,3
437,2
438,3
439,0
440,9
441,2
442,7
443,1
444,2
445,0
446,1
447,1
448,0
449,0
450,3
451,2
452,0
453,0
454,1
455,0
456,1
457,0
458,0
459,3
460,3
461,1
462,0
463,3
464,2
465,3
466,1
467,1
468,1
469,0
470,1
471,1
472,0
473,0
474,0
475,0
476,1
477,0
478,1
479,0
480,1
481,2
482,0
483,1
484,1
485,1
486,1
487,0
488,0
489,1
490,0
491,0
492,1
493,2
494,0
495,0
496,0
497,2
498,1
499,2
500,1
501,3
502,1
503,5
504,0
505,4
506,3
507,4
508,0
509,0
510,3
511,3
512,6
513,5
514,9
515,16
516,5
517,4
518,6
519,0
520,3
521,4
522,10
523,8
524,8
525,5
526,1
527,0
528,5
529,8
530,14
531,8
532,6
533,12
534,3
535,3
536,9
537,4
538,11
539,10
540,10
541,5
542,1
543,5
544,0
545,1
546,5
547,1
548,1
549,4
550,0
551,0
552,0
553,3
554,1
555,6
556,0
557,2
558,0
559,0
560,0
561,3
562,2
563,0
564,0
565,2
566,1
567,0
568,0
569,1
570,0
571,0
572,0
573,0
574,1
575,1
576,8
577,2
578,11
579,11
580,7
581,4
582,8
583,9
584,7
585,2
586,10
587,5
588,4
589,6
590,6
591,14
592,3
593,3
594,14
595,6
596,4
597,7
598,12
599,5
600,4
601,3
602,5
603,8
604,6
605,3
606,8
607,4
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,1
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,10
641,0
642,9
643,5
644,1
645,7
646,4
647,1
648,4
649,9
650,9
651,26
652,6
653,1
654,4
655,2
656,0
657,7
658,3
659,7
660,8
661,2
662,2
663,6
664,10
665,3
666,27
667,7
668,3
669,6
670,4
671,3
672,0
673,0
674,1
675,0
676,0
677,0
678,0
679,1
680,1
681,1
682,1
683,0
684,1
685,1
686,2
687,1
688,0
689,0
690,2
691,2
692,1
693,0
694,1
695,0
696,0
697,0
698,0
699,0
700,1
701,0
702,1
703,0
704,3
705,0
706,1
707,3
708,2
709,0
710,3
711,3
712,2
713,0
714,1
715,2
716,4
717,1
718,1
719,5
720,2
721,2
722,3
723,4
724,2
725,2
726,1
727,2
728,2
729,3
730,2
731,2
732,3
733,0
734,9
735,1
736,3
737,0
738,0
739,0
740,2
741,0
742,2
743,1
744,0
745,0
746,1
747,1
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,1
759,0
760,0
761,0
762,0
763,1
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,1
773,3
774,0
775,2
776,0
777,4
778,2
779,0
780,6
781,1
782,0
783,2
784,3
785,3
786,3
787,6
788,2
789,0
790,0
791,2
792,2
793,2
794,3
795,2
796,1
797,3
798,0
799,0
800,1
801,1
802,1
803,1
804,0
805,0
806,0
807,0
808,0
809,0
810,1
811,0
