index,list_len
0,2
1,0
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,5
12,4
13,2
14,2
15,2
16,2
17,5
18,1
19,0
20,2
21,2
22,5
23,4
24,4
25,2
26,2
27,4
28,2
29,2
30,2
31,8
32,7
33,0
34,1
35,2
36,1
37,5
38,1
39,3
40,7
41,5
42,4
43,0
44,5
45,4
46,4
47,6
48,0
49,1
50,0
51,1
52,0
53,1
54,2
55,0
56,1
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,2
68,1
69,1
70,3
71,1
72,1
73,1
74,2
75,1
76,2
77,3
78,2
79,1
80,1
81,2
82,1
83,3
84,2
85,0
86,0
87,2
88,1
89,1
90,1
91,0
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,1
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,3
110,1
111,1
112,1
113,1
114,1
115,1
116,2
117,1
118,0
119,0
120,0
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,1
129,1
130,0
131,0
132,1
133,1
134,0
135,0
136,0
137,4
138,1
139,1
140,0
141,0
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,0
152,2
153,0
154,1
155,2
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,2
166,1
167,3
168,2
169,1
170,0
171,1
172,1
173,2
174,0
175,1
176,0
177,2
178,0
179,0
180,1
181,4
182,0
183,2
184,2
185,2
186,1
187,1
188,2
189,3
190,0
191,0
192,1
193,0
194,2
195,3
196,0
197,2
198,2
199,2
200,1
201,0
202,2
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,2
212,2
213,0
214,3
215,1
216,0
217,1
218,3
219,1
220,0
221,1
222,0
223,1
224,1
225,1
226,0
227,0
228,0
229,1
230,0
231,0
232,1
233,1
234,0
235,0
236,2
237,1
238,4
239,0
240,1
241,2
242,1
243,2
244,1
245,1
246,1
247,3
248,0
249,2
250,2
251,1
252,1
253,0
254,2
255,3
256,1
257,1
258,6
259,2
260,3
261,1
262,1
263,7
264,3
265,2
266,4
267,13
268,8
269,1
270,5
271,1
272,2
273,6
274,2
275,2
276,3
277,0
278,5
279,1
280,5
281,13
282,6
283,4
284,5
285,6
286,9
287,7
288,3
289,5
290,1
291,5
292,3
293,5
294,6
295,1
296,15
297,6
298,8
299,5
300,2
301,13
302,12
303,7
304,4
305,3
306,2
307,1
308,4
309,1
310,2
311,13
312,4
313,0
314,0
315,6
316,9
317,1
318,3
319,1
320,0
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,1
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,1
337,3
338,0
339,0
340,0
341,1
342,1
343,0
344,0
345,0
346,0
347,0
348,1
349,0
350,1
351,1
352,3
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,2
361,0
362,3
363,0
364,0
365,0
366,1
367,0
368,0
369,2
370,1
371,6
372,2
373,1
374,1
375,0
376,2
377,1
378,0
379,1
380,1
381,2
382,1
383,0
384,4
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,1
406,0
407,1
408,0
409,0
410,1
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,0
419,1
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,1
430,0
431,0
432,1
433,1
434,1
435,3
436,1
437,2
438,3
439,1
440,2
441,1
442,1
443,6
444,1
445,3
446,2
447,3
448,1
449,4
450,5
451,4
452,2
453,1
454,1
455,1
456,4
457,1
458,5
459,2
460,6
461,2
462,2
463,0
464,4
465,0
466,1
467,0
468,0
469,1
470,0
471,1
472,2
473,1
474,0
475,3
476,0
477,1
478,2
479,0
480,0
481,1
482,2
483,3
484,0
485,1
486,2
487,3
488,0
489,1
490,6
491,3
492,3
493,1
494,2
495,2
496,0
497,1
498,1
499,2
500,2
501,0
502,0
503,2
504,4
505,1
506,0
507,1
508,0
509,1
510,3
511,3
512,2
513,7
514,2
515,1
516,1
517,1
518,1
519,1
520,6
521,4
522,5
523,7
524,1
525,6
526,6
527,7
528,8
529,10
530,20
531,28
532,1
533,4
534,1
535,4
536,4
537,2
538,0
539,6
540,2
541,2
542,0
543,4
544,13
545,20
546,20
547,12
548,10
549,4
550,8
551,6
552,1
553,3
554,4
555,2
556,7
557,3
558,7
559,10
560,7
561,8
562,2
563,5
564,22
565,27
566,6
567,6
568,5
569,2
570,7
571,6
572,2
573,4
574,26
575,20
576,3
577,7
578,17
579,15
580,9
581,5
582,3
583,1
584,2
585,1
586,1
587,2
588,1
589,7
590,2
591,4
592,1
593,2
594,4
595,4
596,3
597,2
598,8
599,5
600,3
601,0
602,0
603,1
604,1
605,0
606,5
607,1
608,2
609,4
610,2
611,3
612,2
613,4
614,1
615,1
616,6
617,0
618,1
619,0
620,1
621,0
622,0
623,1
624,0
625,0
626,0
627,0
628,1
629,0
630,0
631,0
632,1
633,0
634,0
635,0
636,1
637,0
638,0
639,0
640,2
641,0
642,0
643,1
644,0
645,0
646,1
647,0
648,0
649,1
650,1
651,0
652,0
653,1
654,1
655,0
656,0
657,1
658,1
659,1
660,0
661,2
662,0
663,2
664,0
665,0
666,1
667,0
668,1
669,0
670,1
671,0
672,0
673,0
674,0
675,0
676,1
677,1
678,1
679,0
680,0
681,0
682,1
683,0
684,0
685,1
686,0
687,2
688,0
689,0
690,1
691,1
692,2
693,1
694,1
695,0
696,0
697,0
698,0
699,1
700,0
701,2
702,0
703,1
704,0
705,1
706,0
707,0
708,1
709,2
710,1
711,1
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,1
720,1
721,0
722,1
723,1
724,2
725,0
726,1
727,0
728,1
729,1
730,1
731,2
732,1
733,0
734,1
735,1
736,0
737,1
738,1
739,0
740,2
741,2
742,1
743,0
744,1
745,0
746,0
747,3
748,0
749,1
750,0
751,0
752,1
753,0
754,1
755,0
756,1
757,1
758,0
759,0
760,0
761,0
762,0
763,0
764,1
765,0
766,0
767,0
768,1
769,0
770,0
771,1
772,5
773,0
774,2
775,1
776,2
777,0
778,0
779,0
780,1
781,5
782,1
783,3
784,1
785,3
786,1
787,1
788,0
789,1
790,0
791,2
792,1
793,2
794,3
795,2
796,1
797,0
798,0
799,1
800,1
801,1
802,1
803,0
804,2
805,1
806,0
807,2
808,0
809,2
810,2
811,0
812,0
813,0
814,2
815,1
816,0
817,0
818,1
819,0
820,2
821,1
822,0
823,0
824,4
825,5
826,0
827,0
828,4
829,1
830,0
831,1
832,1
833,1
834,0
835,1
836,1
837,0
838,2
839,1
840,2
841,1
842,0
843,2
844,1
845,1
846,1
847,1
848,1
849,2
850,1
851,0
852,4
853,2
854,1
855,3
856,0
857,0
858,0
859,0
860,0
861,2
862,2
863,5
864,1
865,0
866,0
867,0
868,0
869,1
870,0
871,0
872,2
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,1
885,3
886,0
887,3
888,1
889,1
890,0
891,0
892,1
893,4
894,0
895,1
896,2
897,0
898,2
899,0
900,2
901,0
902,1
903,2
904,1
905,0
906,0
907,0
908,5
909,1
910,0
911,0
912,0
913,3
914,0
915,0
916,0
917,0
918,0
919,1
920,1
921,1
922,4
923,0
924,1
925,1
926,1
927,0
928,3
929,0
930,0
931,5
932,0
933,0
934,0
935,1
936,2
937,0
938,0
939,0
940,0
941,1
942,3
943,0
944,0
945,2
946,1
947,3
948,0
949,0
950,1
951,0
952,2
953,0
954,0
955,3
956,0
957,0
958,0
959,1
960,1
961,2
962,2
963,1
964,2
965,1
966,0
967,0
968,1
969,2
970,1
971,0
972,0
973,0
974,0
975,0
976,0
977,2
978,2
979,0
980,1
981,2
982,1
983,1
984,0
985,0
986,1
987,0
988,3
989,1
990,4
991,2
992,0
993,0
994,1
995,1
996,2
997,0
998,1
999,2
1000,0
1001,1
1002,2
1003,0
1004,3
1005,0
1006,1
1007,0
1008,1
1009,1
1010,0
1011,0
1012,0
1013,0
1014,0
1015,1
1016,0
1017,1
1018,0
1019,0
1020,0
1021,1
1022,1
1023,1
1024,1
1025,0
1026,0
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,1
1035,0
1036,4
1037,0
1038,0
1039,0
1040,0
1041,1
1042,0
1043,0
1044,2
1045,1
1046,0
1047,1
1048,0
1049,1
1050,0
1051,1
1052,0
1053,0
1054,0
1055,2
1056,3
1057,0
1058,1
1059,0
1060,2
1061,0
1062,1
1063,0
1064,0
1065,1
1066,3
1067,3
1068,1
1069,4
1070,2
1071,10
1072,3
1073,3
1074,5
1075,3
1076,7
1077,7
1078,6
1079,3
1080,10
1081,4
1082,8
1083,1
1084,6
1085,1
1086,2
1087,6
1088,6
1089,7
1090,6
1091,4
1092,2
1093,2
1094,7
1095,6
1096,6
1097,1
1098,1
1099,1
1100,1
1101,2
1102,3
1103,2
1104,7
1105,1
1106,2
1107,0
1108,1
1109,2
1110,3
1111,2
1112,5
1113,1
1114,0
1115,1
1116,0
1117,6
1118,4
1119,6
1120,6
1121,5
1122,3
1123,2
1124,2
1125,2
1126,1
1127,3
1128,0
1129,1
1130,1
1131,0
1132,0
1133,1
1134,1
1135,1
1136,4
1137,6
1138,8
1139,3
1140,2
1141,0
1142,1
1143,2
1144,0
1145,0
1146,3
1147,16
1148,9
1149,0
1150,0
1151,5
1152,6
1153,3
1154,3
1155,1
1156,0
1157,1
1158,2
